TypeName, MaxTakeoffMassKG, MaxLandingMassKG, WingSpanM, LandingSpeedKT, WingAreaM, WingAspectRatio, WingTaper, mx_wx, Jxx, VortexPointXOffsetM
GLF4,33868.000000,29964.000000,23.730000,74.000000,88.410000,6.370000,0.310000,-0.519400,223819.000000,0.000000
GLF5,41087.000000,34186.000000,28.520000,66.000000,105.770000,7.690000,0.330000,-0.528100,368615.000000,0.000000
GlobalHawk,12133.000000,12133.000000,35.420000,52.000000,50.100000,25.040000,0.330000,-0.720000,241660.000000,0.000000
H25B,11577.000000,9988.000000,14.340000,64.000000,32.840000,6.260000,0.310000,-0.519500,27213.000000,0.000000
MD11,286247.000000,223141.000000,51.700000,78.000000,339.360000,7.880000,0.250000,-0.491900,11386220.000000,0.000000
MD82,67873.000000,59020.000000,32.910000,68.000000,112.470000,9.630000,0.200000,-0.468000,847501.000000,0.000000
MD83,72640.000000,68100.000000,32.910000,69.000000,112.470000,9.630000,0.200000,-0.468000,977886.000000,0.000000
Predator,1020.000000,1020.000000,14.800000,45.000000,11.500000,19.050000,0.330000,-0.700000,3547.000000,0.000000
RJ100,44265.000000,40179.000000,26.380000,63.000000,77.400000,8.990000,0.400000,-0.557500,726750.000000,0.000000
RJ85,42222.000000,38590.000000,26.380000,62.000000,77.400000,8.990000,0.400000,-0.557500,698010.000000,0.000000
SB34,13166.000000,12939.000000,21.440000,59.000000,41.860000,10.980000,0.450000,-0.641200,113573.000000,0.000000
Osprey,29.480000,29.480000,3.350000,38.000000,1.870000,6.000000,1.000000,-0.750000,5.170000,0.000000
A388,560508.000000,386345.000000,79.820000,70.000000,846.110000,7.530000,0.220000,-0.477100,63964204.000000,5.000000
B712,54934.000000,49940.000000,28.520000,68.000000,93.090000,8.740000,0.210000,-0.472900,775412.000000,0.000000
B748,385900.000000,281480.000000,64.970000,73.000000,541.870000,7.790000,0.280000,-0.505600,30871738.000000,0.000000
C680,10442.000000,9080.000000,16.320000,64.000000,29.020000,9.180000,0.260000,-0.496800,32068.000000,0.000000
C750,10442.000000,9080.000000,16.320000,64.000000,29.020000,9.180000,0.260000,-0.496800,32068.000000,0.000000
DC10,286247.000000,223141.000000,51.700000,78.000000,339.360000,7.880000,0.250000,-0.491900,11386220.000000,0.000000
HELO,1020.000000,1020.000000,14.800000,45.000000,11.500000,19.050000,0.330000,-0.700000,3547.000000,0.000000
MD88,72640.000000,68100.000000,32.910000,69.000000,112.470000,9.630000,0.200000,-0.468000,977886.000000,0.000000
MD90,72640.000000,68100.000000,32.910000,69.000000,112.470000,9.630000,0.200000,-0.468000,977886.000000,0.000000
B764,181600.000000,145280.000000,47.610000,74.000000,283.730000,7.990000,0.270000,-0.501200,6287418.000000,0.000000
B77L,299640.000000,237896.000000,60.970000,72.000000,428.380000,8.680000,0.150000,-0.442500,16883928.000000,0.000000
Baron,2313,2114,11.53,81,18.5,7.18,0.4,-0.65,4962,0.000000
